tip.label,HRAF.culture,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Montagnais,Innu,1,3,50,-74,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,0,0.533263018,175,1142304198,77743,0.735906007,7
Nama_Hottentot,Khoi,1,2,-28,17,Pastoralists,Pastoralists,Deserts & Xeric Shrublands,Desert,19,0.669471417,11,386520648,17684,0.552160071,5
Nkundo_Mongo,Mongo,1,1,-1,19,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.81980859,0,7122628458,196080,0.7877248,
Nyakyusa,Nyakyusa and Ngonde,1,3,-10,34,Intensive Agricultralists,Agricultralists,Montane Grasslands & Shrublands,Grasslands,18,0.752033892,8,14085952159,110479,0.728508561,44
Otoro_Nuba,Nuba,1,3,11,31,Intensive Agricultralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.720400228,4,5077602208,78688,0.654283409,
Paiute_North,Northern Paiute,1,3,43,-119,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Desert,7,0.550759337,84,1342878435,54119,0.596869848,12
Papago,O'odham,1,3,32,-112,Other Combos,Agricultralists,Deserts & Xeric Shrublands,Desert,22,0.614612452,62,704821052,24750,0.403531842,27
Pastoral_Fulani,Fulani,1,2,15,8,Pastoralists,Pastoralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.6750865,21,2377791781,35298,0.580981932,5
Pawnee,Pawnee,1,1,42,-100,Other Combos,Horticultralists,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,10,0.526247596,141,1386862473,49432,0.613605807,54
Quiche,Quiche Maya,1,1,15,-91,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Coniferous Forests,Forests,24,0.777626739,3,9210797676,90767,0.676147291,
Riffians,Berbers of Morocco,1,1,35,-3,Agro-Pastoralists,Agricultralists,"Mediterranean Forests, Woodlands, & Scrub",Forests,19,0.655456608,35,374401020,20103,0.456040806,11
Romans,Imperial Romans,1,1,42,12,Intensive Agricultralists,Agricultralists,"Mediterranean Forests, Woodlands, & Scrub",Forests,15,0.653850112,40,1651724949,55827,0.58798742,0
Rwala_Bedouin,Rwala Bedouin,1,2,33,39,Pastoralists,Pastoralists,Deserts & Xeric Shrublands,Desert,16,0.622996025,80,193864145,13405,0.459266012,
Santal,Santal,1,2,24,87,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Dry Broadleaf Forests,Forests,25,0.642094263,33,14510681796,113007,0.486404492,2
Saramacca,Saramaka,1,3,4,-56,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.724681911,2,7982395717,98885,0.726687272,60
Saulteaux,Ojibwa,1,2,52,-96,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,1,0.503938367,226,506258689,42363,0.682821213,2
Semang,Semang,1,2,5,101,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.830861754,1,23289771427,241032,0.682639897,1
Shavante,Xavante,1,2,-14,-52,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.706246565,4,15093364988,118024,0.585009656,24
Siamese,Central Thai,1,1,14,101,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.710509079,9,20087073747,149790,0.668414215,1
Siriono,Siriono,1,1,-15,-64,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.699749967,3,6801139023,99839,0.627940061,28
Siuai,Siwai,1,1,-7,155,Agro-Pastoralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.859139734,0,16864903667,289372,0.72167192,14
Slave,Slavey,1,3,61,-120,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-3,0.467644261,212,263255952,29516,0.670022065,2
Somali,Somali,1,2,9,47,Pastoralists,Pastoralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,23,0.723550239,7,1958075071,38065,0.598009921,43
